Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-19 11:53:10 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_15.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-19 08:44:45 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,MTP,EXPFAIL,DRNMIN,NOAMP,CTFAIL,CQCONF,HIGHSD,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,21.400405883789062,21.069080352783203,0.46856504678726196,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.53382768844746664,N,N,N,N,N,Y,N,75.179885864257812,,,
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,13.420941352844238,13.354984283447266,0.093276709318161011,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.38904608786304312,N,N,N,N,N,Y,N,87.70648193359375,,,
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,15.205364227294922,15.583147048950195,0.53426629304885864,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.41485635990479369,N,N,N,N,N,Y,Y,60.000598907470703,,,
4,A4,FALSE,CRII2020_CRF_Ac118,Acer,UNKNOWN,SYBR,None,17.679361343383789,17.598220825195312,0.11475136876106262,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.40139371779444094,N,N,N,N,N,Y,N,75.622001647949219,,,
5,A5,FALSE,CRII2020_CRF_Ac118,A,UNKNOWN,SYBR,None,20.45977783203125,20.277183532714844,0.25822734832763672,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.48685877593903498,N,N,N,N,N,Y,N,88.001228332519531,,,
6,A6,FALSE,CRII2020_CRF_Ac118,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,74.295654296875,,,
7,A7,FALSE,CRII2020_CRF_Ac118,Acer,UNKNOWN,SYBR,None,17.517078399658203,17.598220825195312,0.11475136876106262,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.36929319355600077,N,N,N,N,N,Y,N,75.474632263183594,,,
8,A8,FALSE,CRII2020_CRF_Ac118,A,UNKNOWN,SYBR,None,20.094589233398438,20.277183532714844,0.25822734832763672,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.39411279346897288,N,N,N,N,N,Y,N,88.001228332519531,,,
9,A9,FALSE,CRII2020_CRF_Ac118,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,60.000598907470703,,,
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,21,No Amp,,0,Y,N,N,Y,N,Y,N,81.369499206542969,85.49591064453125,72.674568176269531,69.137649536132812
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,Y,N,90.948661804199219,83.727447509765625,75.327255249023438,79.011550903320312
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,76.653602600097656,,,
13,B1,FALSE,CRII2020_CRF_Ac119,Acer,UNKNOWN,SYBR,None,19.941112518310547,19.96234130859375,0.030023392289876938,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.40386042476480905,N,N,N,N,N,Y,N,75.179885864257812,,,
14,B2,FALSE,CRII2020_CRF_Ac119,A,UNKNOWN,SYBR,None,21.660690307617188,21.634315490722656,0.037300974130630493,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.4962920956331105,N,N,N,N,N,Y,N,87.70648193359375,,,
15,B3,FALSE,CRII2020_CRF_Ac119,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,77.537834167480469,,,
