Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-12 19:54:08 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_12.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-12 16:48:18 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,18.820623397827148,18.918828964233398,0.13888365030288696,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53666010265288688,4.0896315574645996,3.4330337047576904,75.025985717773438,,,,Y,N,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,12.799445152282715,12.86290168762207,0.089741766452789307,,,,,,,,FALSE,0.01,TRUE,3,12,Amp,,0.33525006192814227,5.0621981620788574,4.5544891357421875,87.54681396484375,,,,Y,N,N,N,N
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,14.9814453125,15.560407638549805,0.81877636909484863,,,,,,,,FALSE,0.01,TRUE,3,14,Amp,,0.37959174169372029,4.7353439331054688,3.6003007888793945,60.000999450683594,,,,Y,N,Y,N,N
4,A4,FALSE,CRII2020_Mote_AcML31,Acer,UNKNOWN,SYBR,None,17.830648422241211,17.509990692138672,0.4534771740436554,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.51237970176950887,3.9771029949188232,3.3730690479278564,75.173294067382812,,,,Y,N,N,N,N
5,A5,FALSE,CRII2020_Mote_AcML31,A,UNKNOWN,SYBR,None,25.176002502441406,24.778270721435547,0.562477707862854,,,,,,,,FALSE,0.01,TRUE,3,24,Amp,,0.42790486813357465,4.1525721549987793,3.4260215759277344,84.45343017578125,,,,Y,N,Y,N,N
6,A6,FALSE,CRII2020_Mote_AcML31,D,UNKNOWN,FAM,NFQ-MGB,23.624872207641602,23.872886657714844,0.35074540972709656,,,,,,,,FALSE,0.01,TRUE,3,22,Amp,,0.33771376538032449,4.2292537689208984,3.1693389415740967,64.125503540039062,,,,Y,N,N,N,N
7,A7,FALSE,CRII2020_Mote_AcML31,Acer,UNKNOWN,SYBR,None,17.189334869384766,17.509990692138672,0.4534771740436554,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.2875960189299025,3.9914941787719727,3.4010207653045654,75.320594787597656,,,,Y,N,N,N,N
8,A8,FALSE,CRII2020_Mote_AcML31,A,UNKNOWN,SYBR,None,24.380538940429688,24.778270721435547,0.562477707862854,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.33342438268491936,4.0565052032470703,3.4195396900177002,84.45343017578125,,,,Y,N,Y,N,N
9,A9,FALSE,CRII2020_Mote_AcML31,D,UNKNOWN,FAM,NFQ-MGB,24.120901107788086,23.872886657714844,0.35074540972709656,,,,,,,,FALSE,0.01,TRUE,3,23,Amp,,0.46295636922095523,3.6342997550964355,2.1887047290802002,60.000999450683594,,,,Y,N,N,N,N
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.4120846688747406,0.0022450974211096764,84.748039245605469,89.314453125,74.878684997558594,71.932609558105469,Y,Y,N,Y,Y
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.44847464561462402,0.0042097382247447968,89.314453125,83.275001525878906,76.057113647460938,93.291656494140625,Y,Y,N,Y,Y
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1883975267410278,-0.003819124074652791,77.088241577148438,,,,Y,Y,N,N,N
13,B1,FALSE,CRII2020_CRF_Ac7,Acer,UNKNOWN,SYBR,None,18.619855880737305,18.550724029541016,0.09776720404624939,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.40683676678311192,4.2114219665527344,3.6745896339416504,75.025985717773438,,,,Y,N,N,N,N
