Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,09-19-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2021-01-11 13:14:16 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Users\INSTR-ADMIN\experiments\Rich\CRII_Oct2020_CBASS\CRII2020_02.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CRII2020_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-01-11 10:08:26 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,Rn (last cycle),Delta Rn (last cycle),Tm1,Tm2,Tm3,Tm4,EXPFAIL,CQCONF,HIGHSD,MTP,NOAMP
1,A1,FALSE,+,Acer,UNKNOWN,SYBR,None,15.085500717163086,14.791301727294922,0.41606020927429199,,,,,,,,FALSE,0.01,TRUE,3,13,Amp,,0.70963478862968832,2.5583076477050781,2.0448119640350342,75.477088928222656,,,,N,Y,N,N,N
2,A2,FALSE,+,A,UNKNOWN,SYBR,None,7.1897873878479004,7.336125373840332,0.2069534957408905,,,,,,,,FALSE,0.01,TRUE,3,6,Amp,,0.50857237192949001,3.9081785678863525,3.4469230175018311,87.71136474609375,,,,N,Y,N,N,N
3,A3,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,8.2813577651977539,8.5259666442871094,0.34592920541763306,,,,,,,,FALSE,0.01,TRUE,3,7,Amp,,0.49547224629902376,4.2984223365783691,3.1540660858154297,60,,,,N,Y,N,N,N
4,A4,FALSE,CRII2020_RRT_Ap161,Acer,UNKNOWN,SYBR,None,18.844738006591797,18.79705810546875,0.067428216338157654,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.83820745927134044,2.4537394046783447,2.0840690135955811,75.624488830566406,,,,N,N,N,N,N
5,A5,FALSE,CRII2020_RRT_Ap161,A,UNKNOWN,SYBR,None,21.435081481933594,21.46412467956543,0.041073285043239594,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.45144102891469401,3.4407551288604736,2.9745612144470215,87.71136474609375,,,,N,Y,N,N,N
6,A6,FALSE,CRII2020_RRT_Ap161,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94012504816055298,-0.0074933022260665894,74.003082275390625,,,,Y,Y,N,N,Y
7,A7,FALSE,CRII2020_RRT_Ap161,Acer,UNKNOWN,SYBR,None,18.749380111694336,18.79705810546875,0.067428216338157654,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.62996415888663471,2.2621095180511475,1.9553471803665161,75.477088928222656,,,,N,Y,N,N,N
8,A8,FALSE,CRII2020_RRT_Ap161,A,UNKNOWN,SYBR,None,21.493167877197266,21.46412467956543,0.041073285043239594,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.46039680135171318,3.489436149597168,3.0278944969177246,87.71136474609375,,,,N,Y,N,N,N
9,A9,FALSE,CRII2020_RRT_Ap161,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.3656208515167236,-0.00068763626040890813,60,,,,Y,Y,N,N,Y
10,A10,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.26192525029182434,-0.0052632903680205345,60,,,,Y,Y,N,N,Y
11,A11,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.32850220799446106,-0.00072333606658503413,89.480171203613281,79.60430908203125,85.352943420410156,76.214096069335938,Y,Y,N,Y,Y
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0641776323318481,-0.0070542385801672935,75.477088928222656,,,,Y,Y,N,N,Y
13,B1,FALSE,CRII2020_RRT_Ap162,Acer,UNKNOWN,SYBR,None,18.128927230834961,18.297676086425781,0.23864826560020447,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.7096150744042069,2.5105831623077393,2.1460669040679932,75.477088928222656,,,,N,Y,N,N,N
14,B2,FALSE,CRII2020_RRT_Ap162,A,UNKNOWN,SYBR,None,21.448760986328125,21.444664001464844,0.0057953600771725178,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.57284222644743465,3.4559638500213623,3.0069472789764404,87.563957214355469,,,,N,Y,N,N,N
